Time,Lat,Lon,Altitude,Accuracy,Heading,Speed,Battery
1455906688.999995,42.361652,-71.091505,8.162197,25.000000,22.148438,0.860000,0.470000
1455906689.999996,42.361664,-71.091494,8.026119,25.000000,18.281250,0.870000,0.470000
1455906690.999994,42.361679,-71.091485,7.796200,25.000000,15.117188,0.870000,0.470000
1455906691.999995,42.361697,-71.091475,7.632992,25.000000,13.007812,1.700000,0.470000
1455906692.999995,42.361717,-71.091467,7.795223,25.000000,5.976562,1.700000,0.470000
1455906693.999995,42.361735,-71.091458,7.684078,25.000000,8.085938,1.540000,0.470000
1455906694.999996,42.361752,-71.091449,7.596340,25.000000,11.250000,1.280000,0.470000
1455906695.999995,42.361765,-71.091439,7.518734,25.000000,22.851562,1.260000,0.470000
1455906696.999996,42.361776,-71.091425,7.567226,25.000000,33.398438,1.250000,0.470000
1455906697.999995,42.361785,-71.091404,7.702663,25.000000,56.601562,1.280000,0.470000
1455906698.999995,42.361792,-71.091381,7.661678,25.000000,67.851562,1.280000,0.470000
1455906699.999995,42.361797,-71.091360,7.700069,25.000000,73.476562,1.280000,0.470000
1455906700.999996,42.361803,-71.091339,7.652706,25.000000,61.523438,1.150000,0.470000
1455906701.999996,42.361812,-71.091316,7.462948,25.000000,51.679688,1.300000,0.470000
1455906702.999996,42.361822,-71.091289,7.611446,25.000000,52.382812,1.600000,0.470000
1455906703.999996,42.361831,-71.091270,7.365810,25.000000,52.734375,1.300000,0.470000
1455906704.999996,42.361835,-71.091251,7.403072,25.000000,49.570312,0.890000,0.470000
1455906705.999995,42.361841,-71.091229,7.342587,25.000000,48.515625,0.890000,0.470000
1455906706.999996,42.361847,-71.091208,7.359158,25.000000,50.625000,0.810000,0.470000
1455906707.999995,42.361853,-71.091185,7.356716,25.000000,60.468750,1.370000,0.470000
1455906708.999996,42.361860,-71.091161,7.371853,25.000000,58.710938,1.370000,0.470000
1455906709.999995,42.361867,-71.091138,7.375332,25.000000,54.843750,1.370000,0.470000
1455906710.999995,42.361875,-71.091116,7.384945,25.000000,58.710938,1.450000,0.470000
1455906711.999995,42.361884,-71.091093,7.446774,25.000000,59.062500,1.350000,0.470000
1455906712.999995,42.361894,-71.091073,7.498562,25.000000,58.710938,1.350000,0.470000
1455906713.999995,42.361903,-71.091057,7.548794,25.000000,58.710938,1.150000,0.470000
1455906714.999996,42.361913,-71.091044,7.708004,25.000000,58.359375,0.910000,0.470000
1455906715.999996,42.361922,-71.091028,7.704342,25.000000,75.585938,1.040000,0.470000
1455906716.999996,42.361930,-71.091010,7.800320,25.000000,59.414062,1.180000,0.470000
1455906717.999996,42.361940,-71.090993,7.948605,25.000000,58.359375,1.180000,0.470000
1455906718.999995,42.361949,-71.090975,7.865566,25.000000,58.359375,1.200000,0.470000
1455906719.999995,42.361956,-71.090960,7.929043,25.000000,58.359375,1.260000,0.470000
1455906720.999995,42.361964,-71.090943,7.906521,25.000000,58.359375,1.300000,0.470000
1455906721.999995,42.361973,-71.090928,7.840054,25.000000,58.359375,1.300000,0.470000
1455906722.999995,42.361978,-71.090916,8.070553,25.000000,85.078125,1.220000,0.470000
1455906723.999996,42.361983,-71.090901,8.435726,25.000000,84.726562,1.220000,0.470000
1455906724.999996,42.361987,-71.090890,8.802273,25.000000,84.726562,0.940000,0.470000
1455906725.999995,42.361988,-71.090881,9.015957,25.000000,84.726562,0.940000,0.470000
1455906726.999995,42.361990,-71.090873,8.927425,25.000000,84.726562,0.910000,0.470000
1455906727.999996,42.361994,-71.090863,8.949123,25.000000,84.726562,0.910000,0.470000
1455906728.999996,42.362000,-71.090850,9.430996,25.000000,84.726562,1.160000,0.470000
1455906729.999995,42.362006,-71.090838,9.409969,25.000000,56.953125,1.110000,0.470000
1455906730.999995,42.362013,-71.090827,9.513546,25.000000,57.304688,1.110000,0.470000
1455906731.999995,42.362022,-71.090818,9.496944,25.000000,57.304688,0.940000,0.470000
1455906732.999995,42.362030,-71.090811,9.136318,25.000000,57.304688,0.890000,0.470000
